CIDADE,LATITUDE,LONGITUDE
Lagoa Dourada,-20.9139,-44.0797
Lagoa Formosa,-18.7715,-46.4012
Lagoa Grande,-17.8323,-46.5165
Lagoa dos Patos,-16.978,-44.5754
Lajinha,-20.1539,-41.6228
Lambari,-21.9671,-45.3498
Lamim,-20.79,-43.4706
Laranjal,-21.3715,-42.4732
Lassance,-17.887,-44.5735
Leandro Ferreira,-19.7193,-45.0279
Leme do Prado,-17.0793,-42.6936
Leopoldina,-21.5296,-42.6421
Liberdade,-22.0275,-44.3208
Lima Duarte,-21.8386,-43.7934
Limeira do Oeste,-19.5512,-50.5815
Lontra,-15.9013,-44.306
Luisburgo,-20.4468,-42.0976
Luislândia,-16.1095,-44.5886
Luminárias,-21.5145,-44.9034
Luz,-19.7911,-45.6794
Machacalis,-17.0723,-40.7245
Machado,-21.6778,-45.9219
Madre de Deus de Minas,-21.483,-44.3287
Malacacheta,-17.8456,-42.0769
Mamonas,-15.0479,-42.9469
Manga,-14.7529,-43.9391
Manhumirim,-20.3591,-41.9589
Mar de Espanha,-21.8707,-43.0062
Maravilhas,-19.5076,-44.6779
Maria da Fé,-22.3044,-45.3773
Mariana,-20.3765,-43.414
Marilac,-18.5079,-42.0822
Maripá de Minas,-21.6979,-42.9546
Marliéria,-19.7096,-42.7327
Marmelópolis,-22.447,-45.1645
Martinho Campos,-19.3306,-45.2434
Martins Soares,-20.2546,-41.8786
Mata Verde,-15.6869,-40.7366
Materlândia,-18.4699,-43.0579
Mateus Leme,-19.9794,-44.4318
Mathias Lobato,-18.59,-41.9166
Matias Barbosa,-21.869,-43.3135
Matias Cardoso,-14.8563,-43.9146
Matipó,-20.2873,-42.3401
Mato Verde,-15.3944,-42.86
Matozinhos,-19.5543,-44.0868
Matutina,-19.2179,-45.9664
Medeiros,-19.9865,-46.2181
Medina,-16.2245,-41.4728
Mendes Pimentel,-18.6631,-41.4052
Mercês,-21.1976,-43.3337
Mesquita,-19.224,-42.6079
Minas Novas,-17.2156,-42.5884
Minduri,-21.6797,-44.6051
Mirabela,-16.256,-44.1602
Miradouro,-20.8899,-42.3458
Miravânia,-14.7348,-44.4092
Miraí,-21.2021,-42.6122
Moeda,-20.3399,-44.0509
Moema,-19.8387,-45.4127
Monjolos,-18.3245,-44.118
Monsenhor Paulo,-21.7579,-45.5391
Montalvânia,-14.4197,-44.3719
Monte Azul,-15.1514,-42.8718
Monte Belo,-21.3271,-46.3635
Monte Carmelo,-18.7302,-47.4912
Monte Formoso,-16.8691,-41.2473
Monte Santo de Minas,-21.1873,-46.9753
Monte Sião,-22.4335,-46.573
Montezuma,-15.1702,-42.4941
Morada Nova de Minas,-18.5998,-45.3584
Morro da Garça,-18.5356,-44.601
Morro do Pilar,-19.2236,-43.3795
Munhoz,-22.6092,-46.362
Mutum,-19.8121,-41.4407
Muzambinho,-21.3692,-46.5213
Mário Campos,-20.0582,-44.1883
Nacip Raydan,-18.4544,-42.2481
Naque,-19.2291,-42.3312
Natércia,-22.1158,-45.5123
Nazareno,-21.2168,-44.6138
Nepomuceno,-21.2324,-45.235
Ninheira,-15.3148,-41.7564
Nova Belém,-18.4925,-41.1107
Nova Era,-19.7577,-43.0333
Nova Lima,-19.9758,-43.8509
Nova Módica,-18.4417,-41.4984
Nova Porteirinha,-15.7993,-43.2941
Nova Resende,-21.1286,-46.4157
Nova Serrana,-19.8713,-44.9847
Nova União,-19.6876,-43.583
Novo Cruzeiro,-17.4654,-41.8826
Novo Oriente de Minas,-17.4089,-41.2194
Novorizonte,-16.0162,-42.4044
Olaria,-21.8598,-43.9356
Olhos d'Água,-17.3982,-43.5719
Oliveira Fortes,-21.3401,-43.4499
Olímpio Noronha,-22.0685,-45.2657
Onça de Pitangui,-19.7276,-44.8058
Oratórios,-20.4298,-42.7977
Orizânia,-20.5142,-42.1991
Ouro Branco,-20.5263,-43.6962
Ouro Preto,-20.3796,-43.512
Ouro Verde de Minas,-18.0719,-41.2734
Padre Carvalho,-16.3646,-42.5088
Padre Paraíso,-17.0758,-41.4821
Pai Pedro,-15.5271,-43.07
Paineiras,-18.8993,-45.5321
Pains,-20.3705,-45.6627
Paiva,-21.2913,-43.4088
Palma,-21.3748,-42.3123
Palmópolis,-16.7364,-40.4296
Papagaios,-19.4419,-44.7468
Paraguaçu,-21.5465,-45.7374
Paraisópolis,-22.5539,-45.7803
Passa Quatro,-22.3871,-44.9709
Passa Tempo,-20.6539,-44.4926
Passa-Vinte,-22.2097,-44.2344
Passabém,-19.3509,-43.1383
Patis,-16.0773,-44.0787
Patrocínio do Muriaé,-21.1544,-42.2125
Paula Cândido,-20.8754,-42.9752
Paulistas,-18.4276,-42.8628
Pavão,-17.4267,-41.0035
Pedra Azul,-16.0086,-41.2909
Pedra Bonita,-20.5219,-42.3304
Pedra Dourada,-20.8266,-42.1515
Pedra do Anta,-20.5968,-42.7123
Pedra do Indaiá,-20.2563,-45.2107
Pedralva,-22.2386,-45.4654
Pedras de Maria da Cruz,-15.6032,-44.391
Pedrinópolis,-19.2241,-47.4579
Pedro Leopoldo,-19.6308,-44.0383
Pedro Teixeira,-21.7076,-43.743
Pequeri,-21.8341,-43.1145
Pequi,-19.6284,-44.6604
Perdigão,-19.9411,-45.078
Perdizes,-19.3434,-47.2963
Perdões,-21.0932,-45.0896
Periquito,-19.1573,-42.2333
Pescador,-18.357,-41.6006
Peçanha,-18.5441,-42.5583
Piau,-21.5096,-43.313
Piedade de Caratinga,-19.7593,-42.0756
Piedade de Ponte Nova,-20.2438,-42.7379
Piedade do Rio Grande,-21.469,-44.1938
Piedade dos Gerais,-20.4715,-44.2243
Pimenta,-20.4827,-45.8049
Pingo-d'Água,-19.7287,-42.4095
Pintópolis,-16.0572,-45.1402
Piracema,-20.5089,-44.4783
Pirajuba,-19.9092,-48.7027
Piranga,-20.6834,-43.2967
Piranguinho,-22.395,-45.5324
Piranguçu,-22.5249,-45.4945
Pirapetinga,-21.6554,-42.3434
Piraúba,-21.2825,-43.0172
Pitangui,-19.6741,-44.8964
Planura,-20.1376,-48.7
Pocrane,-19.6208,-41.6334
Pompéu,-19.2257,-45.0141
Ponto Chique,-16.6282,-45.0588
Ponto dos Volantes,-16.7473,-41.5025
Porteirinha,-15.7404,-43.0281
Porto Firme,-20.6642,-43.0834
Poté,-17.8077,-41.786
Pouso Alto,-22.1964,-44.9748
Poço Fundo,-21.78,-45.9658
Prados,-21.0597,-44.0778
Prata,-19.3086,-48.9276
Pratinha,-19.739,-46.3755
Pratápolis,-20.7411,-46.8624
Presidente Bernardes,-20.7656,-43.1895
Presidente Juscelino,-18.6401,-44.06
Presidente Kubitschek,-18.6193,-43.5628
Presidente Olegário,-18.4096,-46.4165
Prudente de Morais,-19.4742,-44.1591
Quartel Geral,-19.2703,-45.5569
Queluzito,-20.7416,-43.8851
Raposos,-19.9636,-43.8079
Raul Soares,-20.1061,-42.4502
Recreio,-21.5289,-42.4676
Reduto,-20.2401,-41.9848
Resende Costa,-20.9171,-44.2407
